customer_id,customer_name,valid_orders,revenue,last_purchase_date,recency_days,churn_status
C0000640,Fatima Garcia,12,16764.01,2025-05-14,232,At Risk
C0017094,Ravi Taylor,17,16367.64,2025-06-27,188,At Risk
C0003146,Isabella Chen,12,15822.03,2025-01-19,347,At Risk
C0006541,Camila Patel,19,15317.25,2025-05-11,235,At Risk
C0015113,Mia Johnson,22,15198.78,2025-05-02,244,At Risk
C0016793,Aarav Chen,10,14574.82,2024-12-26,371,Lost
C0043194,Maya Chen,9,14211.96,2025-04-15,261,At Risk
C0041100,Sofia Garcia,12,13785.61,2025-05-14,232,At Risk
C0040288,Camila Thomas,11,13560.61,2025-05-10,236,At Risk
C0014395,Camila Johnson,10,13408.39,2025-05-04,242,At Risk
C0043819,Aisha Garcia,8,13281.81,2025-03-03,304,At Risk
C0038443,Sofia Sharma,8,12846.58,2025-06-08,207,At Risk
C0032687,Noah Singh,10,12269.83,2025-06-24,191,At Risk
C0007900,Sofia Thomas,6,12010.46,2025-07-03,182,At Risk
C0040538,Grace Robinson,6,11842.48,2025-05-29,217,At Risk
C0009625,Ethan Martinez,5,11731.04,2025-02-19,316,At Risk
C0004144,Aisha Robinson,11,11589.82,2025-03-20,287,At Risk
C0032397,Ethan Gupta,16,11548.29,2025-05-14,232,At Risk
C0020469,Daniel Gupta,11,11450.34,2025-02-22,313,At Risk
C0014043,Grace Anderson,9,11448.86,2024-08-19,500,Lost
C0023042,Alex Smith,14,11424.9,2025-03-06,301,At Risk
C0015845,Theo Lee,11,11244.81,2025-04-16,260,At Risk
C0034547,Ethan Smith,12,11069.84,2025-06-23,192,At Risk
C0047218,Alex Garcia,3,11001.23,2024-12-19,378,Lost
C0018819,Fatima Garcia,12,10991.45,2025-06-16,199,At Risk
C0030493,Kai Kim,11,10947.51,2025-06-06,209,At Risk
C0011062,James Miller,11,10870.45,2025-03-09,298,At Risk
C0038159,Fatima Kim,10,10833.18,2024-10-13,445,Lost
C0015008,Liam Kim,7,10757.9,2025-07-01,184,At Risk
C0046606,Kai Anderson,4,10518.6,2025-06-09,206,At Risk
C0020759,Alex Sharma,8,10489.43,2025-06-22,193,At Risk
C0039009,Mia Miller,2,10448.17,2024-09-02,486,Lost
C0010667,Aarav Singh,10,10350.55,2025-06-08,207,At Risk
C0048970,Daniel Robinson,2,10266.19,2025-03-26,281,At Risk
C0013251,Aria Thomas,11,10200.93,2024-11-01,426,Lost
C0020862,Ethan Lee,6,10195.61,2024-08-05,514,Lost
C0035441,Hannah Miller,9,10148.72,2025-04-12,264,At Risk
C0023210,James Patel,10,10144.04,2025-02-04,331,At Risk
C0032643,Liam Chen,6,10094.54,2024-10-11,447,Lost
C0009831,Zara Khan,2,10000.62,2024-12-17,380,Lost
C0046253,Benjamin Anderson,5,9899.46,2025-02-07,328,At Risk
C0049037,Maya Lee,8,9884.47,2024-12-14,383,Lost
C0031757,Camila Sharma,9,9840.98,2025-06-08,207,At Risk
C0009971,Zara Thomas,9,9824.25,2024-11-02,425,Lost
C0026284,Aisha Thomas,11,9815.08,2025-04-13,263,At Risk
C0017001,Sofia Sharma,5,9736.35,2024-09-25,463,Lost
C0001266,Ethan Robinson,8,9533.13,2025-04-12,264,At Risk
C0044049,Zara Robinson,8,9521.37,2025-04-23,253,At Risk
C0031963,Theo Wilson,10,9465.11,2025-03-24,283,At Risk
C0027292,Aria Miller,6,9448.15,2025-06-30,185,At Risk
C0002541,Hannah Smith,7,9441.89,2024-10-18,440,Lost
C0041915,Daniel Davis,3,9436.04,2025-01-18,348,At Risk
C0006033,Isabella Robinson,6,9412.44,2024-11-22,405,Lost
C0036914,Alex Brown,16,9404.97,2025-06-28,187,At Risk
C0023893,Mia Kim,5,9368.05,2025-03-30,277,At Risk
C0040799,Aisha Miller,9,9296.1,2024-12-21,376,Lost
C0019479,Aarav Miller,8,9249.77,2025-04-02,274,At Risk
C0005894,Noah Martinez,4,9243.91,2024-12-28,369,Lost
C0047805,James Anderson,6,9184.39,2025-03-14,293,At Risk
C0011583,Priya Davis,11,9166.8,2025-04-30,246,At Risk
C0043511,Fatima Robinson,6,9165.77,2025-03-31,276,At Risk
C0047677,Noah Miller,6,9158.74,2025-04-14,262,At Risk
C0042410,Noah Khan,10,9155.9,2025-06-18,197,At Risk
C0015282,Noah Martinez,8,9139.41,2025-02-22,313,At Risk
C0036991,Zara Miller,10,9106.37,2025-04-13,263,At Risk
C0020029,Mia Miller,7,9058.03,2025-06-18,197,At Risk
C0008874,Grace Wilson,10,9025.98,2025-05-07,239,At Risk
C0026735,Aarav Smith,15,9019.7,2025-06-15,200,At Risk
C0000295,Alex Smith,2,8951.88,2025-01-27,339,At Risk
C0006810,James Garcia,6,8921.05,2024-12-19,378,Lost
C0024851,James Garcia,3,8894.94,2024-12-06,391,Lost
C0012672,Theo Wilson,7,8889.76,2025-06-02,213,At Risk
C0044398,Priya Chen,7,8829.04,2025-03-17,290,At Risk
C0047010,Kai Wilson,9,8798.32,2025-05-27,219,At Risk
C0003390,Noah Gupta,12,8762.19,2025-04-04,272,At Risk
C0016176,Amelia Garcia,10,8723.76,2025-06-30,185,At Risk
C0045277,Ravi Kim,11,8722.51,2025-04-30,246,At Risk
C0041952,Sofia Wilson,5,8680.38,2025-06-17,198,At Risk
C0032585,Isabella Chen,5,8671.42,2024-11-22,405,Lost
C0038697,Daniel Anderson,7,8651.45,2025-04-01,275,At Risk
C0045199,Grace Sharma,11,8594.95,2025-06-07,208,At Risk
C0036184,Theo Smith,4,8542.45,2025-05-13,233,At Risk
C0027889,Benjamin Thomas,9,8537.75,2025-06-27,188,At Risk
C0000494,Ravi Singh,7,8530.18,2024-12-27,370,Lost
C0045707,Grace Brown,11,8483.76,2025-05-24,222,At Risk
C0015976,Aria Thomas,6,8398.72,2025-04-09,267,At Risk
C0031887,Isabella Taylor,10,8398.26,2025-04-30,246,At Risk
C0001047,Theo Johnson,9,8392.08,2024-07-15,535,Lost
C0000835,Theo Anderson,7,8384.65,2025-05-18,228,At Risk
C0031671,Grace Smith,6,8379.93,2024-10-20,438,Lost
C0029152,Isabella Garcia,3,8312.22,2023-12-10,753,Lost
C0033114,Aisha Anderson,6,8242.96,2025-01-15,351,At Risk
C0014873,Hannah Wilson,2,8231.48,2023-09-14,840,Lost
C0036398,Alex Khan,7,8127.39,2025-02-22,313,At Risk
C0021556,Camila Thomas,5,8124.59,2025-06-21,194,At Risk
