customer_id,last_purchase_date,first_purchase_date,frequency,monetary,recency,recency_score,frequency_score,monetary_score,rfm_score,customer_segment,customer_name,gender,age,city,state,country,signup_date,churn_status,churn_score
C0000001,2025-10-16,2025-04-05,3,2456.97,77,3,3,4,334,Need Nurture,Maya Martinez,Female,44,Boston,Massachusetts,United States,2024-05-21,Active,27.6
C0000002,2025-12-30,2025-09-15,7,2572.54,2,5,5,4,554,Champions,Mia Sharma,Male,30,Seattle,Washington,United States,2025-04-19,Active,4.3
C0000003,2025-12-22,2025-10-01,4,3387.42,10,5,4,4,544,Champions,Camila Johnson,Non-binary,20,Miami,Florida,United States,2025-04-10,Active,11.5
C0000004,2025-04-11,2025-04-11,1,815.8,265,2,1,2,212,Need Nurture,Ethan Smith,Male,45,Dallas,Texas,United States,2025-02-06,At Risk,75.9
C0000005,2025-11-13,2025-04-27,2,1336.15,49,4,2,3,423,Potential Loyalists,Theo Anderson,Female,54,Toronto,Ontario,Canada,2024-11-24,Active,33.4
C0000006,2025-11-02,2025-11-02,1,149.48,60,3,1,1,311,Need Nurture,Ravi Johnson,Female,42,New York,New York,United States,2025-08-31,Active,49.0
C0000007,2025-12-05,2025-10-16,2,251.22,27,4,2,1,421,Potential Loyalists,Grace Gupta,Male,41,London,England,United Kingdom,2025-01-18,Active,38.1
C0000008,2024-03-25,2024-03-25,1,1297.23,647,1,1,3,113,Lost Customers,Camila Chen,Female,56,New York,New York,United States,2024-02-01,Lost,100.0
C0000009,2024-10-02,2024-05-25,5,2361.39,456,1,4,4,144,Loyal Customers,Daniel Martinez,Male,44,Vancouver,British Columbia,Canada,2024-01-03,Lost,78.7
C0000010,2025-12-26,2024-04-02,8,8191.0,6,5,5,5,555,Champions,James Taylor,Female,29,Bengaluru,Karnataka,India,2024-04-02,Active,0.9
C0000011,2025-05-01,2024-12-26,2,2149.4,245,2,2,4,224,Need Nurture,Kai Davis,Female,30,Boston,Massachusetts,United States,2024-01-09,At Risk,58.9
C0000012,2025-05-09,2025-05-09,1,2378.8,237,2,1,4,214,Need Nurture,Aria Taylor,Female,44,Austin,Texas,United States,2024-01-07,At Risk,63.7
C0000013,2024-07-22,2024-07-22,1,173.82,528,1,1,1,111,Lost Customers,Aisha Taylor,Female,43,London,England,United Kingdom,2022-08-29,Lost,100.0
C0000014,2025-10-07,2023-07-05,4,448.88,86,3,4,2,342,Need Nurture,Isabella Taylor,Male,50,London,England,United Kingdom,2023-04-14,Active,31.0
C0000015,2023-12-19,2023-12-19,1,1135.99,744,1,1,3,113,Lost Customers,Olivia Anderson,Male,41,Toronto,Ontario,Canada,2023-03-12,Lost,100.0
C0000016,2025-03-07,2025-01-07,3,622.36,300,2,3,2,232,At Risk,Amelia Wilson,Female,45,Phoenix,Arizona,United States,2024-07-04,At Risk,69.2
C0000017,2025-01-13,2024-05-01,2,364.55,353,1,2,2,122,Lost Customers,Grace Kim,Female,41,Melbourne,Victoria,Australia,2023-09-18,At Risk,83.2
C0000018,2025-07-23,2023-10-14,4,3297.53,162,2,4,4,244,Loyal Customers,Aria Miller,Male,49,Chicago,Illinois,United States,2023-07-28,Needs Attention,34.4
C0000019,2025-11-30,2024-03-28,7,4110.31,32,4,5,5,455,Champions,Camila Johnson,Female,46,New York,New York,United States,2023-12-12,Active,4.8
C0000020,2025-12-23,2024-12-14,11,9459.54,9,5,5,5,555,Champions,Liam Martinez,Male,34,Toronto,Ontario,Canada,2024-10-23,Active,1.4
C0000021,2025-11-28,2024-12-28,2,1148.26,34,4,2,3,423,Potential Loyalists,Daniel Miller,Female,35,Bengaluru,Karnataka,India,2022-06-15,Active,31.1
C0000022,2025-01-12,2025-01-12,1,552.88,354,1,1,2,112,Lost Customers,Camila Singh,Male,41,Boston,Massachusetts,United States,2025-01-05,At Risk,89.3
C0000023,2025-07-16,2025-03-17,2,1918.02,169,2,2,3,223,Need Nurture,Zara Johnson,Male,38,London,England,United Kingdom,2025-01-21,Needs Attention,51.5
C0000024,2025-11-07,2023-09-01,2,747.23,55,3,2,2,322,Need Nurture,Aria Chen,Male,53,Bengaluru,Karnataka,India,2023-02-14,Active,38.3
C0000025,2025-07-24,2025-07-24,1,291.67,161,2,1,1,211,Need Nurture,Aria Miller,Male,40,Phoenix,Arizona,United States,2025-01-11,Needs Attention,64.3
C0000026,2024-10-30,2024-10-30,1,603.39,428,1,1,2,112,Lost Customers,Theo Singh,Female,20,Toronto,Ontario,Canada,2023-07-08,Lost,100.0
C0000027,2025-07-30,2024-08-16,4,538.78,155,2,4,2,242,At Risk,James Anderson,Male,23,Austin,Texas,United States,2023-12-04,Needs Attention,41.4
C0000028,2025-11-16,2025-03-14,5,654.3,46,4,4,2,442,Potential Loyalists,Aisha Smith,Female,34,Miami,Florida,United States,2025-02-03,Active,24.9
